TransactionID,Date,Category,Merchant,Amount,PaymentMethod
85d53acf-4ae2-44e2-8931-c130bace5d08,2025-01-14,Rent,Netflix,23.46,Debit Card
cfb055a8-b467-4502-8519-d06440d878f2,2025-10-20,Entertainment,Target,150.51,Credit Card
a450264a-56fb-4663-a737-05210fbf4d29,2025-04-02,Rent,Netflix,65.84,Credit Card
b066eb1e-9f4a-48bd-92f4-8a0abe051132,2025-11-08,Rent,Netflix,45.65,Cash
d60d6ae3-7767-4573-9339-ef0784e1d7fc,2025-10-09,Utilities,CVS,8.48,Cash
41081f78-b036-42a9-b096-db9af506ea63,2025-10-07,Rent,Apple,8.48,Debit Card
ed37c054-1d5b-4e37-aa2e-e1a6f1ac58e0,2025-11-19,Transport,Target,2.99,Cash
01767828-0e43-4792-9d09-eac4084cf27a,2025-09-06,Utilities,Uber,100.56,Credit Card
0519e22a-0e6e-4b7a-9a52-92dc18ee1504,2025-08-12,Utilities,Netflix,45.95,Debit Card
888a9b7e-a79d-43f9-a51d-5016ed650f2e,2025-07-31,Rent,Starbucks,61.56,Credit Card
e2a0d321-9ec8-4775-8432-d5a43c5bd6ab,2025-11-05,Food,Target,1.04,Bank Transfer
3d7ac9c8-8587-46b4-a2c8-564de3486222,2024-12-23,Rent,Apple,175.18,Bank Transfer
1f4a65fc-3b0c-423a-8883-24c820250b7c,2025-09-23,Utilities,Uber,89.32,Credit Card
27ec3795-d299-4da1-bb25-bc6e76872800,2025-03-04,Transport,Uber,11.93,Bank Transfer
6c443a41-b6d4-4c44-84bb-e319a785372c,2025-08-30,Rent,Uber,10.03,Debit Card
f1403d88-518a-4026-9529-2fe6ca8a2355,2025-03-29,Healthcare,Target,10.13,Cash
72d17f4c-97ac-47f2-9b91-67e81097401b,2024-12-28,Entertainment,CVS,18.14,Cash
4b602b18-86b2-45a1-8db5-0a28006549bb,2024-12-11,Food,Amazon,37.2,Bank Transfer
57550ce1-37e3-46d3-a0bd-2fa196c29260,2025-10-23,Transport,Amazon,28.28,Bank Transfer
fdde95eb-251d-4c76-ab65-d624fd185aed,2025-10-16,Shopping,Amazon,17.21,Debit Card
87fcca85-e209-4bcc-81d6-d68c8670b38e,2025-02-12,Rent,Uber,47.32,Credit Card
da3fff27-b5f3-44ee-8b62-0a098b673945,2025-08-01,Healthcare,CVS,7.51,Debit Card
f87622b7-3d3f-4d86-ac2b-9e9c1d6b7d11,2025-10-01,Rent,CVS,17.28,Cash
